species,rep,target,shortfall,shortfall_perc,carbon_weight,scenario,country_contraint,target_met,spp
999999,17209.2467266642,57423.880900921824,-40214.63417425762,-0.700312022512781,IC,IC,IC,no,carbon
10795880101,433.6001966896999,390.3108880977635,43.28930859193639,0.11090981551376414,IC,IC,IC,yes,biodiv
10795880103,44.496808607118844,22,22.496808607118844,1.022582209414493,IC,IC,IC,yes,biodiv
10795880106,43.34751026287834,38.64098400329786,4.706526259580478,0.12180140803812849,IC,IC,IC,yes,biodiv
10795880109,73.60127096233784,57.82806776928711,15.773203193050726,0.2727603359666114,IC,IC,IC,yes,biodiv
10795880111,143.90303561565358,165.09909947690824,-21.196063861254657,-0.12838388536588757,IC,IC,IC,no,biodiv
10795880113,23.271931865943177,25.669972824166443,-2.398040958223266,-0.09341813388932309,IC,IC,IC,no,biodiv
10795880116,326.08858455312327,310.30309248199836,15.785492071124906,0.05087120448869091,IC,IC,IC,yes,biodiv
10795880122,24.395461165466042,20.80275784068319,3.5927033247828533,0.17270322292348833,IC,IC,IC,yes,biodiv
10795880124,36.5573723474458,22,14.5573723474458,0.6616987430657182,IC,IC,IC,yes,biodiv
10795880126,46.60689640300093,60.52092358543328,-13.91402718243235,-0.22990440922123176,IC,IC,IC,no,biodiv
10795880127,54.1764405840176,64.79520874538207,-10.618768161364471,-0.16388199632308872,IC,IC,IC,no,biodiv
10795880402,116.7496574605267,66.2542894040071,50.49536805651961,0.7621448891951382,IC,IC,IC,yes,biodiv
10795880406,424.7851246809409,393.5771411278887,31.207983553052202,0.07929318116295657,IC,IC,IC,yes,biodiv
10795880407,2.114063222421778,1.961322385499646,0.15274083692213214,0.0778764562375713,IC,IC,IC,yes,biodiv
10795880409,144.45617278232763,119.24929471056927,25.206878071758354,0.2113796826466616,IC,IC,IC,yes,biodiv
10795880411,1106.3268769419485,965.6277028689352,140.6991740730133,0.14570747468717807,IC,IC,IC,yes,biodiv
10795880421,220.03004834473754,140.77181924795724,79.2582290967803,0.5630262471579902,IC,IC,IC,yes,biodiv
